DAY,CORRECTNESS,NUM_RESULT_OWNERS,NUM_QUESTIONS
2018-03-20,1,17525,155462
2018-10-01,2,61254,371767
2018-05-23,3,5818,19255
2018-05-14,1,15775,147839
2018-06-11,1,9520,90686
2018-11-30,3,20687,69967
2018-10-10,3,23851,82875
2018-06-14,3,3191,13023
2018-02-13,1,17293,156794
2018-06-26,1,3744,35905
2018-08-03,1,4477,40380
2018-01-21,2,1924,15419
2018-07-09,2,3688,24248
2018-01-31,2,18473,148470
2018-02-24,2,1256,8559
2018-10-07,2,2882,17883
2018-06-01,1,7855,66483
2018-01-30,2,18690,159210
2018-05-20,3,723,2299
2018-07-09,3,2076,8074
2018-02-18,1,1209,10959
2018-07-04,2,1189,6013
2018-09-01,1,1599,15200
2018-08-11,2,852,3756
2018-04-22,3,904,3680
2018-04-01,1,926,7631
2018-08-05,3,563,2120
2018-09-08,3,35011,197738
2018-03-16,1,13582,121765
2018-06-07,1,9353,84722
2018-10-31,1,199012,685732
2018-08-08,1,10295,91761
2018-01-18,2,15283,126771
2018-05-28,2,1877,9129
2018-05-23,1,14292,120145
2018-09-09,3,59170,336520
2018-04-25,3,6882,25015
2018-05-16,1,13480,136730
2018-09-21,1,70137,608068
2018-06-13,2,7539,51888
2018-09-23,1,3912,43027
2018-09-19,1,61486,521169
2018-10-01,1,63192,507318
2018-08-31,1,56660,505577
2018-11-30,1,48087,388383
2018-05-10,1,14242,120051
2018-04-17,3,7918,30087
2018-03-06,2,17486,135474
2018-04-04,2,12300,93869
2018-04-19,1,16114,135850
2018-11-28,3,19909,62634
2018-06-08,3,3167,12492
2018-05-12,2,906,4056
2018-05-11,2,12113,71594
2018-04-14,2,1322,6044
2018-05-07,3,7819,27390
2018-09-22,1,2454,25061
2018-10-07,1,3138,29603
2018-10-13,2,2247,12480
2018-03-17,1,1123,9734
2018-03-31,1,786,7259
2018-05-06,3,720,2672
2018-10-24,1,345046,1180128
2018-10-23,1,362420,1217101
2018-11-08,3,106040,261493
2018-09-11,2,69981,444235
2018-08-14,3,10495,36978
2018-09-26,3,26708,89949
2018-11-15,2,41874,249754
2018-04-12,2,16435,98857
2018-10-18,2,51273,315024
2018-10-05,1,52356,438656
2018-02-19,2,5521,43041
2018-03-02,1,14867,132836
2018-05-19,1,1293,11055
2018-07-18,1,2761,23369
2018-09-02,1,2000,21674
2018-05-22,2,14921,86625
2018-10-06,2,2159,11245
2018-09-16,1,3929,41277
2018-08-04,2,772,3591
2018-06-03,1,1478,12573
2018-03-31,2,798,5373
2018-11-07,3,109599,271198
2018-01-04,1,11156,110428
2018-02-23,2,16130,128482
2018-05-15,1,14359,131463
2018-11-26,2,45074,261765
2018-07-26,1,2311,18194
2018-08-18,3,745,2972
2018-07-17,3,1361,4756
2018-11-24,1,1501,13766
2018-05-14,2,15176,93181
2018-04-11,2,16406,117030
2018-11-24,3,758,2858
2018-08-19,1,1826,18580
2018-09-15,2,2051,12084
